,name,type,kind,development_stage,vitality,attack,harmful,universe
0,Limit Reverse,Trap Card,Continuous,,,,False,yugioh
1,The 13th Grave,Normal Monster,Zombie,0.25,0.24,0.24,True,yugioh
2,Gem-Enhancement,Trap Card,Normal,,,,False,yugioh
3,Magician's Circle,Trap Card,Normal,,,,False,yugioh
4,Castle of Dark Illusions,Flip Effect Monster,Fiend,0.3333333333333333,0.386,0.184,True,yugioh
5,Cipher Spectrum,Trap Card,Normal,,,,False,yugioh
6,Lava Golem,Effect Monster,Fiend,0.6666666666666666,0.6,0.6,True,yugioh
7,Dark Magic Expanded,Spell Card,Quick-Play,,,,False,yugioh
8,Seismic Crasher,Effect Monster,Rock,0.25,0.28,0.28,True,yugioh
9,Laval Lancelord,Effect Monster,Warrior,0.5,0.42,0.42,True,yugioh
10,Skull Dice,Trap Card,Normal,,,,False,yugioh
11,Performapal Springoose,Effect Monster,Winged Beast,0.4166666666666667,0.48,0.22,True,yugioh
12,Miracle Flipper,Effect Monster,Spellcaster,0.16666666666666666,0.1,0.06,True,yugioh
13,Key Mouse,Tuner Monster,Beast,0.08333333333333333,0.02,0.02,True,yugioh
14,Mischief of the Gnomes,Trap Card,Normal,,,,False,yugioh
15,Vylon Hept,Effect Monster,Fairy,0.3333333333333333,0.36,0.36,True,yugioh
16,Koa'ki Meiru Prototype,Effect Monster,Rock,0.3333333333333333,0.36,0.36,True,yugioh
17,Koa'ki Meiru Token,Token,Rock,,,,False,yugioh
18,Hero Flash!!,Spell Card,Normal,,,,False,yugioh
19,E - Emergency Call,Spell Card,Normal,,,,False,yugioh
20,Fenrir,Effect Monster,Beast,0.3333333333333333,0.28,0.28,True,yugioh
21,Ballista of Rampart Smashing,Spell Card,Equip,,,,False,yugioh
22,Rapid Warrior,Effect Monster,Warrior,0.3333333333333333,0.24,0.24,True,yugioh
23,Inzektor Gauntlet,Trap Card,Normal,,,,False,yugioh
24,Mound of the Bound Creator,Spell Card,Field,,,,False,yugioh
25,Mermail Abyssnose,Effect Monster,Fish,0.3333333333333333,0.3,0.3,True,yugioh
26,Jet Warrior,Synchro Monster,Warrior,0.4166666666666667,0.42,0.42,True,yugioh
27,T.G. Warwolf,Effect Monster,Beast-Warrior,0.25,0.24,0.24,True,yugioh
28,A Legendary Ocean,Spell Card,Field,,,,False,yugioh
29,The Regulation of Tribe,Trap Card,Continuous,,,,False,yugioh
30,Amplifier,Spell Card,Equip,,,,False,yugioh
31,Spell Gear,Spell Card,Normal,,,,False,yugioh
32,Gusto Squirro,Tuner Monster,Thunder,0.16666666666666666,0.36,0.0,False,yugioh
33,Performapal Elephammer,Effect Monster,Beast,0.5,0.52,0.52,True,yugioh
34,Evilswarm Nightmare,XYZ Monster,Fiend,0.3333333333333333,0.39,0.19,True,yugioh
35,Dinomist Brachion,Pendulum Effect Monster,Machine,0.4166666666666667,0.4,0.4,True,yugioh
36,Gagaga Sister,Effect Monster,Spellcaster,0.16666666666666666,0.16,0.04,True,yugioh
37,Wattgiraffe,Effect Monster,Thunder,0.3333333333333333,0.24,0.24,True,yugioh
38,The A. Forces,Spell Card,Continuous,,,,False,yugioh
39,Summoner Monk,Effect Monster,Spellcaster,0.3333333333333333,0.32,0.16,True,yugioh
40,Gearfried the Iron Knight,Effect Monster,Warrior,0.3333333333333333,0.36,0.36,True,yugioh
41,Goblin of Greed,Effect Monster,Fiend,0.3333333333333333,0.36,0.2,True,yugioh
42,Bahamut Shark,XYZ Monster,Sea Serpent,0.3333333333333333,0.52,0.52,True,yugioh
43,The Book of the Law,Spell Card,Quick-Play,,,,False,yugioh
44,Frightfur Tiger,Fusion Monster,Fiend,0.5,0.38,0.38,True,yugioh
45,Driving Snow,Trap Card,Normal,,,,False,yugioh
46,Water Spirit,Normal Tuner Monster,Aqua,0.08333333333333333,0.24,0.08,True,yugioh
47,Superheavy Samurai Warlord Susanowo,Synchro Monster,Machine,0.8333333333333334,0.76,0.48,True,yugioh
48,Cherry Inmato,Tuner Monster,Plant,0.16666666666666666,0.14,0.14,True,yugioh
49,Prevent Rat,Normal Monster,Beast,0.3333333333333333,0.4,0.1,True,yugioh
50,Totem Dragon,Effect Monster,Dragon,0.16666666666666666,0.08,0.08,True,yugioh
51,PSY-Frame Circuit,Spell Card,Field,,,,False,yugioh
52,Daigusto Emeral,XYZ Monster,Rock,0.3333333333333333,0.36,0.36,True,yugioh
53,Snake Fang,Trap Card,Normal,,,,False,yugioh
54,Malefic Rainbow Dragon,Effect Monster,Dragon,0.8333333333333334,0.8,0.8,True,yugioh
55,"Virgil, Rock Star of the Burning Abyss",Synchro Monster,Spellcaster,0.5,0.5,0.5,True,yugioh
56,Gladiator Beast Retiari,Effect Monster,Aqua,0.25,0.24,0.24,True,yugioh
57,Majespecter Toad - Ogama,Pendulum Effect Monster,Spellcaster,0.3333333333333333,0.26,0.26,True,yugioh
58,Alien Ammonite,Tuner Monster,Reptile,0.08333333333333333,0.1,0.1,True,yugioh
59,Dark Eruption,Spell Card,Normal,,,,False,yugioh
60,Zodiac Sign,Spell Card,Field,,,,False,yugioh
61,Solar Recharge,Spell Card,Normal,,,,False,yugioh
62,Thunder End Dragon,XYZ Monster,Dragon,0.6666666666666666,0.6,0.6,True,yugioh
63,Atlantean Marksman,Effect Monster,Sea Serpent,0.25,0.28,0.28,True,yugioh
64,Amazoness Village,Spell Card,Field,,,,False,yugioh
65,Temple of Skulls,Normal Monster,Zombie,0.3333333333333333,0.26,0.18,True,yugioh
66,"Rubic, Malebranche of the Burning Abyss",Tuner Monster,Fiend,0.25,0.42,0.02,True,yugioh
67,Doron,Normal Monster,Warrior,0.16666666666666666,0.18,0.18,True,yugioh
68,Hiita the Fire Charmer,Flip Effect Monster,Spellcaster,0.25,0.3,0.1,True,yugioh
69,Empress of Prophecy,XYZ Monster,Spellcaster,0.4166666666666667,0.4,0.4,True,yugioh
70,Super Soldier Shield,Trap Card,Counter,,,,False,yugioh
71,Number Wall,Trap Card,Continuous,,,,False,yugioh
72,Dragunity Arma Mystletainn,Effect Monster,Dragon,0.5,0.42,0.42,True,yugioh
73,Dragunity Knight - Gae Bulg,Synchro Monster,Dragon,0.5,0.4,0.4,True,yugioh
74,Vertical Landing,Spell Card,Quick-Play,,,,False,yugioh
75,Unexpected Dai,Spell Card,Normal,,,,False,yugioh
76,Gagagatag,Spell Card,Normal,,,,False,yugioh
77,Geargiarmor,Effect Monster,Machine,0.3333333333333333,0.38,0.22,True,yugioh
78,Penalty Game!,Trap Card,Normal,,,,False,yugioh
79,Armed Dragon LV3,Effect Monster,Dragon,0.25,0.24,0.24,True,yugioh
80,Half Unbreak,Trap Card,Normal,,,,False,yugioh
81,Rebound,Trap Card,Counter,,,,False,yugioh
82,Expressroid,Effect Monster,Machine,0.3333333333333333,0.32,0.08,True,yugioh
