,Unnamed: 0,name,type,kind,development_stage,vitality,attack,harmful,universe
3620,3620,1st Movement Solo,Spell Card,normal,,,,False,yugioh
963,963,"30,000-Year White Turtle",Normal Monster,aqua,0.4166666666666667,0.42,0.25,True,yugioh
1958,1958,7 Colored Fish,Normal Monster,fish,0.3333333333333333,0.36,0.36,True,yugioh
1166,1166,8-Claws Scorpion,Effect Monster,insect,0.1666666666666666,0.06,0.06,True,yugioh
1994,1994,A Cat of Ill Omen,Flip Effect Monster,beast,0.1666666666666666,0.1,0.1,True,yugioh
563,563,A Deal with Dark Ruler,Spell Card,quick-play,,,,False,yugioh
4016,4016,A Feather of the Phoenix,Spell Card,normal,,,,False,yugioh
5477,5477,A Feint Plan,Trap Card,normal,,,,False,yugioh
1773,1773,A Hero Emerges,Trap Card,normal,,,,False,yugioh
723,723,A Hero Lives,Spell Card,normal,,,,False,yugioh
28,28,A Legendary Ocean,Spell Card,field,,,,False,yugioh
2610,2610,A Major Upset,Trap Card,normal,,,,False,yugioh
4182,4182,A Man with Wdjat,Effect Monster,spellcaster,0.3333333333333333,0.32,0.32,True,yugioh
482,482,A Rival Appears!,Trap Card,normal,,,,False,yugioh
1944,1944,A Wild Monster Appears!,Spell Card,normal,,,,False,yugioh
2331,2331,A Wingbeat of Giant Dragon,Spell Card,normal,,,,False,yugioh
2433,2433,A-Assault Core,Union Effect Monster,machine,0.3333333333333333,0.38,0.38,True,yugioh
5254,5254,A-to-Z-Dragon Buster Cannon,Fusion Monster,machine,0.8333333333333334,0.8,0.8,True,yugioh
130,130,ABC-Dragon Buster,Fusion Monster,machine,0.6666666666666666,0.6,0.6,True,yugioh
1048,1048,Abaki,Effect Monster,fiend,0.3333333333333333,0.34,0.34,True,yugioh
6564,6564,Abelone,None,nord,0.0049261083743842,0.036214389183969,0.0833086376710537,False,skyrim
7543,7543,Aboleth,Lawful Evil,aberration,0.25,0.4398520710059171,0.4233333333333333,True,dd5
5688,5688,Absolute Crusader,Effect Monster,warrior,0.3333333333333333,0.36,0.36,True,yugioh
2255,2255,Absolute End,Trap Card,normal,,,,False,yugioh
4950,4950,Absolute King Back Jack,Effect Monster,fiend,0.0833333333333333,0.0,0.0,False,yugioh
5737,5737,Absorb Fusion,Spell Card,normal,,,,False,yugioh
330,330,Absorbing Jar,Flip Effect Monster,rock,0.25,0.12,0.12,True,yugioh
4057,4057,Absorbing Kid from the Sky,Effect Monster,fairy,0.3333333333333333,0.26,0.26,True,yugioh
4259,4259,Abyss Actor - Evil Heel,Pendulum Effect Monster,fiend,0.6666666666666666,0.6,0.6,True,yugioh
2052,2052,Abyss Actor - Leading Lady,Pendulum Effect Monster,fiend,0.3333333333333333,0.3,0.3,True,yugioh
4158,4158,Abyss Actor - Sassy Rookie,Pendulum Effect Monster,fiend,0.3333333333333333,0.34,0.34,True,yugioh
2104,2104,Abyss Actor - Superstar,Pendulum Effect Monster,fiend,0.5833333333333334,0.5,0.5,True,yugioh
597,597,Abyss Actor - Twinkle Littlestar,Pendulum Effect Monster,fiend,0.3333333333333333,0.2,0.2,True,yugioh
4186,4186,Abyss Actor - Wild Hope,Pendulum Effect Monster,fiend,0.3333333333333333,0.32,0.32,True,yugioh
4811,4811,Abyss Actors Back Stage,Trap Card,normal,,,,False,yugioh
1722,1722,Abyss Dweller,XYZ Monster,sea serpent,0.3333333333333333,0.34,0.34,True,yugioh
3284,3284,Abyss Flower,Normal Monster,plant,0.1666666666666666,0.15,0.15,True,yugioh
4092,4092,Abyss Script - Fire Dragon's Lair,Spell Card,normal,,,,False,yugioh
1961,1961,Abyss Script - Opening Ceremony,Spell Card,normal,,,,False,yugioh
1117,1117,Abyss Script - Rise of the Abyss King,Spell Card,normal,,,,False,yugioh
1517,1517,Abyss Soldier,Effect Monster,aqua,0.3333333333333333,0.36,0.36,True,yugioh
1610,1610,Abyss-scale of Cetus,Spell Card,equip,,,,False,yugioh
707,707,Abyss-scale of the Kraken,Spell Card,equip,,,,False,yugioh
6260,6260,Abyss-scorn,Trap Card,normal,,,,False,yugioh
4887,4887,Abyss-sphere,Trap Card,continuous,,,,False,yugioh
2817,2817,Abyss-squall,Trap Card,normal,,,,False,yugioh
3617,3617,Abyssal Kingshark,Effect Monster,fish,0.3333333333333333,0.34,0.34,True,yugioh
3048,3048,Accel Synchron,Synchro Tuner Monster,machine,0.4166666666666667,0.42,0.1,True,yugioh
2829,2829,Accellight,Spell Card,normal,,,,False,yugioh
6470,6470,Accumulated Fortune,Trap Card,normal,,,,False,yugioh
5055,5055,Achacha Chanbara,Effect Monster,warrior,0.25,0.28,0.28,True,yugioh
6236,6236,Acid Crawler,Normal Monster,insect,0.25,0.18,0.18,True,yugioh
1749,1749,Acid Rain,Spell Card,normal,,,,False,yugioh
3377,3377,Acid Trap Hole,Trap Card,normal,,,,False,yugioh
2907,2907,Acidic Downpour,Spell Card,field,,,,False,yugioh
7544,7544,Acolyte,Any Alignment,humanoid (any race),0.0625,0.2066568047337278,0.45,True,dd5
6998,6998,Acolyte Jenssen,None,nord,0.0049261083743842,0.036214389183969,0.0790115924344112,False,skyrim
1724,1724,Acorno,Effect Monster,plant,0.0833333333333333,0.08,0.04,True,yugioh
3874,3874,Acrobat Monkey,Normal Monster,machine,0.25,0.36,0.2,True,yugioh
2724,2724,Acrobatic Magician,Pendulum Effect Monster,spellcaster,0.4166666666666667,0.46,0.16,True,yugioh
6616,6616,Adara,None,redguard,0.0049261083743842,0.0313858039594398,0.0383509108341323,False,skyrim
6840,6840,Addvar,None,nord,0.0073891625615763,0.0439401255432158,0.0930279787326767,False,skyrim
6818,6818,Addvild,None,nord,0.0073891625615763,0.0439401255432158,0.0930279787326767,False,skyrim
6627,6627,Adeber,None,breton,0.0073891625615763,0.0439401255432158,0.0930279787326767,False,skyrim
